"Characteristic","n = 72","n = 73","n = 73","n = 73","n = 73","n = 73","n = 73","n = 73","n = 73","n = 73","n = 52","n = 53"
"1","Age","59.4 (12.1)","60 (10.2)","59.1 (12.1)","60.1 (10.2)","59.7 (11.7)","59.5 (10.7)","58.7 (10.6)","60.5 (11.7)","59.8 (10.7)","59.5 (11.7)","59.7 (12.0)","62.6 (9.2)"
"9","Sex","","","","","","","","","","","",""
"10","Female","11 (15.3)","19 (26.0)","15 (20.8)","15 (20.5)","11 (15.1)","19 (26.4)","14 (19.4)","16 (21.9)","16 (22.2)","14 (19.2)","9 (17.6)","11 (20.8)"
"11","Male","61 (84.7)","54 (74.0)","57 (79.2)","58 (79.5)","62 (84.9)","53 (73.6)","58 (80.6)","57 (78.1)","56 (77.8)","59 (80.8)","42 (82.4)","42 (79.2)"
"12","Race and Ethnicity","","","","","","","","","","","",""
"13","African American","0 (0.0)","3 (4.1)","2 (2.8)","1 (1.4)","1 (1.4)","2 (2.8)","1 (1.4)","2 (2.7)","1 (1.4)","2 (2.7)","0 (0.0)","3 (5.7)"
"14","American Indian/Eskimo/Aleutian","0 (0.0)","1 (1.4)","0 (0.0)","1 (1.4)","1 (1.4)","0 (0.0)","0 (0.0)","1 (1.4)","0 (0.0)","1 (1.4)","0 (0.0)","0 (0)"
"15","Hispanic/Latino","2 (2.8)","2 (2.7)","2 (2.8)","2 (2.7)","1 (1.4)","3 (4.2)","3 (4.2)","1 (1.4)","3 (4.2)","1 (1.4)","0 (0.0)","1 (1.9)"
"16","Non-Hispanic White","70 (97.2)","66 (90.4)","68 (94.4)","68 (93.2)","70 (95.9)","66 (91.7)","67 (93.1)","69 (94.5)","67 (93.1)","69 (94.5)","50 (98.0)","49 (92.5)"
"17","Other","0 (0.0)","1 (1.4)","0 (0.0)","1 (1.4)","0 (0.0)","1 (1.4)","1 (1.4)","0 (0.0)","1 (1.4)","0 (0.0)","1 (2.0)","0 (0)"
"2","Body Mass Index (kg/m^2)","26.8 (5.7)","27.3 (5.4)","26.7 (5.3)","27.3 (5.8)","26.8 (6.5)","27.3 (4.4)","26.2 (4.4)","27.9 (6.4)","26.2 (4.3)","27.9 (6.5)","27 (4.3)","27 (5.9)"
"22","Tumor Site","","","","","","","","","","","",""
"23","Larynx","19 (26.4)","19 (26.0)","22 (30.1)","16 (21.9)","24 (32.9)","14 (19.2)","16 (21.9)","22 (30.1)","17 (23.3)","21 (28.8)","12 (23.1)","18 (34)"
"24","Oral Cavity","32 (44.4)","18 (24.7)","32 (43.8)","18 (24.7)","30 (41.1)","20 (27.4)","24 (32.9)","26 (35.6)","23 (31.5)","27 (37.0)","18 (34.6)","15 (28.3)"
"25","Oropharynx","21 (29.2)","36 (49.3)","19 (26.0)","39 (53.4)","19 (26.0)","39 (53.4)","33 (45.2)","25 (34.2)","33 (45.2)","25 (34.2)","22 (42.3)","20 (37.7)"
"26","Tumor Stage","","","","","","","","","","","",""
"27","Stage 4","47 (65.3)","49 (67.1)","48 (65.8)","49 (67.1)","51 (69.9)","46 (63.0)","52 (71.2)","45 (61.6)","51 (69.9)","46 (63.0)","33 (63.5)","38 (71.7)"
"28","Stages 0-3","25 (34.7)","24 (32.9)","25 (34.2)","24 (32.9)","22 (30.1)","27 (37.0)","21 (28.8)","28 (38.4)","22 (30.1)","27 (37.0)","19 (36.5)","15 (28.3)"
"18","HPV Status","","","","","","","","","","","",""
"19","equivocal","13 (18.1)","14 (19.2)","9 (12.3)","18 (24.7)","12 (16.4)","15 (20.5)","14 (19.2)","13 (17.8)","15 (20.5)","12 (16.4)","12 (23.1)","12 (22.6)"
"20","negative","40 (55.6)","32 (43.8)","44 (60.3)","28 (38.4)","42 (57.5)","30 (41.1)","34 (46.6)","38 (52.1)","31 (42.5)","41 (56.2)","25 (48.1)","23 (43.4)"
"21","positive","19 (26.4)","27 (37.0)","20 (27.4)","27 (37.0)","19 (26.0)","28 (38.4)","25 (34.2)","22 (30.1)","27 (37.0)","20 (27.4)","15 (28.8)","18 (34)"
"29","ACE Comorbidity Score","","","","","","","","","","","",""
"30","Moderate/Severe","22 (30.6)","22 (30.1)","21 (28.8)","23 (31.5)","22 (30.1)","22 (30.1)","24 (32.9)","20 (27.4)","26 (35.6)","18 (24.7)","19 (36.5)","16 (30.2)"
"31","None/Mild","50 (69.4)","51 (69.9)","52 (71.2)","50 (68.5)","51 (69.9)","51 (69.9)","49 (67.1)","53 (72.6)","47 (64.4)","55 (75.3)","33 (63.5)","37 (69.8)"
"32","Smoking Status","","","","","","","","","","","",""
"33","Current","36 (50.0)","25 (34.2)","35 (47.9)","26 (35.6)","40 (54.8)","21 (28.8)","29 (39.7)","32 (43.8)","26 (35.6)","35 (47.9)","20 (38.5)","23 (43.4)"
"34","Former","22 (30.6)","31 (42.5)","23 (31.5)","30 (41.1)","20 (27.4)","33 (45.2)","28 (38.4)","25 (34.2)","31 (42.5)","22 (30.1)","19 (36.5)","18 (34)"
