"outcome.variable","index","odds.ratio.q1","q2","q3","q4","trend.p","cont","quad.p"
"1","tnf.bin","f.total.q","1.00","0.41 (0.13, 1.23)","0.47 (0.15, 1.40)","0.90 (0.29, 2.70)","0.71","1.00 (0.67, 1.47)","0.80"
"2","il17.bin","f.total.q","1.00","0.34 (0.09, 1.14)","0.17 (0.04, 0.61)**","0.24 (0.06, 0.88)*","0.06","0.60 (0.33, 1.02)","0.41"
"3","tnf.bin","f.citmlb.q","1.00","0.87 (0.28, 2.62)","0.69 (0.23, 2.03)","1.01 (0.35, 2.92)","0.91","1.08 (0.73, 1.59)","0.15"
"4","il17.bin","f.citmlb.q","1.00","0.64 (0.18, 2.12)","0.68 (0.20, 2.18)","0.10 (0.01, 0.47)**","< 0.01**","0.31 (0.11, 0.69)*","0.98"
"5","tnf.bin","f.other.q","1.00","0.34 (0.10, 1.04)","0.43 (0.14, 1.26)","0.71 (0.23, 2.15)","0.87","0.96 (0.64, 1.41)","0.58"
"6","il17.bin","f.other.q","1.00","0.26 (0.06, 0.96)","0.24 (0.06, 0.82)*","0.45 (0.12, 1.53)","0.50","0.79 (0.46, 1.26)","0.18"
"7","tnf.bin","f.juice.q","1.00","1.66 (0.53, 5.36)","1.78 (0.58, 5.67)","1.72 (0.58, 5.37)","0.46","1.29 (0.89, 1.90)","0.70"
"8","il17.bin","f.juice.q","1.00","1.00 (0.29, 3.47)","1.44 (0.44, 4.81)","0.36 (0.08, 1.39)","0.16","0.79 (0.45, 1.27)","0.81"
"9","tnf.bin","v.total.q","1.00","0.59 (0.19, 1.76)","0.45 (0.14, 1.35)","0.52 (0.15, 1.72)","0.35","0.72 (0.43, 1.12)","0.75"
"10","il17.bin","v.total.q","1.00","0.86 (0.25, 2.96)","0.77 (0.21, 2.69)","0.62 (0.15, 2.52)","0.50","0.62 (0.31, 1.14)","0.99"
"11","tnf.bin","v.drkgr.q","1.00","1.01 (0.32, 3.24)","0.37 (0.11, 1.19)","0.59 (0.17, 1.93)","0.36","0.87 (0.57, 1.29)","0.24"
"12","il17.bin","v.drkgr.q","1.00","0.61 (0.17, 2.12)","0.14 (0.03, 0.58)**","0.37 (0.09, 1.42)","0.24","0.75 (0.42, 1.23)","0.07"
"13","tnf.bin","v.redor.tomato.q","1.00","0.43 (0.14, 1.26)","0.79 (0.26, 2.32)","0.25 (0.07, 0.78)*","0.06","0.90 (0.60, 1.34)","0.02*"
"14","il17.bin","v.redor.tomato.q","1.00","0.83 (0.25, 2.75)","1.26 (0.39, 4.15)","0.12 (0.02, 0.62)*","0.03*","0.66 (0.37, 1.09)","0.14"
"15","tnf.bin","v.redor.total.q","1.00","0.84 (0.29, 2.42)","0.47 (0.14, 1.47)","0.65 (0.20, 2.08)","0.41","0.84 (0.54, 1.26)","0.38"
"16","il17.bin","v.redor.total.q","1.00","1.89 (0.56, 6.84)","1.33 (0.34, 5.37)","0.92 (0.21, 4.04)","0.58","0.73 (0.43, 1.18)","0.74"
"17","tnf.bin","v.starchy.total.q","1.00","1.03 (0.33, 3.23)","0.49 (0.15, 1.48)","1.60 (0.52, 5.01)","0.46","1.40 (0.91, 2.18)","0.19"
"18","il17.bin","v.starchy.total.q","1.00","1.40 (0.40, 4.88)","0.34 (0.07, 1.34)","1.37 (0.39, 4.93)","0.91","1.04 (0.61, 1.72)","0.95"
"19","tnf.bin","v.starchy.potato.q","1.00","0.70 (0.16, 3.05)","0.32 (0.07, 1.42)","0.61 (0.14, 2.65)","0.93","1.11 (0.73, 1.65)","0.18"
"20","il17.bin","v.starchy.potato.q","1.00","0.96 (0.20, 5.13)","0.46 (0.08, 2.62)","0.85 (0.17, 4.78)","0.96","0.95 (0.57, 1.50)","0.64"
"21","tnf.bin","v.starchy.other.q","1.00","0.41 (0.13, 1.27)","0.89 (0.34, 2.32)","NA","0.95","1.53 (1.00, 2.37)","0.62"
"22","il17.bin","v.starchy.other.q","1.00","1.19 (0.34, 4.28)","1.15 (0.38, 3.68)","NA","0.83","1.16 (0.65, 1.93)","0.77"
"23","tnf.bin","v.other.q","1.00","0.63 (0.20, 1.92)","0.24 (0.07, 0.76)*","0.62 (0.19, 2.04)","0.37","0.64 (0.35, 1.04)","0.94"
"24","il17.bin","v.other.q","1.00","0.99 (0.28, 3.49)","0.56 (0.15, 1.95)","0.82 (0.20, 3.29)","0.64","0.67 (0.30, 1.27)","0.91"
"25","tnf.bin","v.legumes.q","1.00","0.11 (0.01, 0.55)*","0.45 (0.15, 1.30)","0.71 (0.22, 2.29)","0.85","0.94 (0.60, 1.43)","0.84"
"26","il17.bin","v.legumes.q","1.00","0.14 (0.02, 0.76)*","0.43 (0.13, 1.45)","0.55 (0.14, 2.12)","0.86","0.83 (0.48, 1.38)","0.44"
"27","tnf.bin","pf.total.q","1.00","0.21 (0.06, 0.66)**","0.34 (0.11, 1.06)","0.14 (0.03, 0.51)**","0.02*","0.64 (0.36, 1.04)","< 0.01**"
"28","il17.bin","pf.total.q","1.00","0.37 (0.10, 1.25)","0.49 (0.14, 1.68)","0.26 (0.06, 1.05)","0.13","0.91 (0.51, 1.49)","0.04*"
"29","tnf.bin","pf.mps.total.q","1.00","0.26 (0.07, 0.84)*","0.87 (0.29, 2.60)","1.40 (0.42, 4.77)","0.20","1.30 (0.81, 2.13)","0.40"
"30","il17.bin","pf.mps.total.q","1.00","0.66 (0.16, 2.58)","1.46 (0.41, 5.43)","2.65 (0.65, 11.65)","0.09","1.68 (0.97, 3.19)","0.94"
"31","tnf.bin","pf.meat.q","1.00","1.43 (0.49, 4.20)","0.77 (0.23, 2.45)","1.11 (0.35, 3.52)","0.97","1.31 (0.84, 2.11)","0.17"
"32","il17.bin","pf.meat.q","1.00","1.21 (0.36, 4.16)","0.44 (0.10, 1.82)","1.41 (0.38, 5.33)","0.69","1.27 (0.74, 2.15)","0.82"
"33","tnf.bin","pf.curemeat.q","1.00","0.89 (0.29, 2.72)","1.87 (0.61, 5.95)","0.96 (0.29, 3.20)","0.94","1.20 (0.78, 1.87)","0.45"
